title,company,salary,summary
General Worker,Coca-Cola Beverages Africa,,"We are looking for talented individual with relevant skills and experience for a General Worker role, which is based in Perseverance."
Runner,Ampath Trust,,"To print, sort and deliver reports, stock items and/or specimen to and from hospital wards and Drs rooms and assist the staff with ad hoc tasks."
Assistant Handyman,Ampath Trust,,"To assist with daily maintenance of Ampath facilities to ensure sufficient and timeous service delivery.Grade 12, Technical Matric (N3), Valid South African…"
DATA CAPTURER,Ciazcon,,Transfer of data to database in a timely and accurate manner.Correcting errors and organizing the information that will optimize swift and accurate capturing.
SanlamConnect: Gauteng South (Boksburg): Sales Support Assis...,Sanlam,,The SSA role is there to render sales support and administration to Sanlam intermediaries and regional sales management.
Courier,Ampath Trust,,"To collect and deliver reports; specimens and parcels sufficiently and timeously to and from the wards, hospitals, Dr’ rooms, factories and relevant clients by…"
Data Input Clerk,Ampath Trust,,"To effectively and sufficiently capture request forms onto Meditech via RSS.Administration related work experience within a pathology laboratory environment,…"
,The Foschini Group,,Being an ambassador for our TFG brands and offering amazing retail experiences to our customers.Customer expectations by identifying and providing them with…
Clerk: Branch Administrator,AVBOB,,Data input and scanning of documents.1-2 years relevant office administration experience will be a definite advantage.
"Mechanical Technician Boksburg, South Africa Operations",Philip Morris International,,"Maintain and improve technical standard of production equipment in order to achieve production and quality requirements, by respecting the health, safety,…"
Data Gatherer,Graduate Placements,R5 000 - R7 000 a month,The ideal candidate will enjoy a fixed work schedule and being in a support role to the external sales team.This is a 3-month Fixed Duration Contract with the…
,Core Group South Africa,,"We are seeking part-time administrators to work within the iStore admin office.This role would include finance admin, stock admin and stock takes as well as…"
CALL CENTER SUPERVISOR,Ciazcon,,"Maintaining the Call Centre’s Service Level Agreements.Ensuring staff members are achieving desired service levels and taking corrective action, as needed."
Graphic Technician,AVBOB,,We have a vacant position within our Product Development department for a Graphic Technician.Open /Edit or redesign artwork using Corel draw or artwork.
Production Process Controller,Coca-Cola Beverages Africa,,"We are looking for talented individual with relevant skills and experience for a Production Process Controller role, which is based in Bloemfontein ."
OFFICE ASSISTANT,Ciazcon,,"Assist with maintaining office operations by providing office support duties, e.g. receiving and distributing communications; collecting and mailing…"
Universal Banker,Standard Bank,,"Takes personal customer sales demand (Lending, Retentions, Enablement, Home Loans Sales, Ucount) or service enquiries for two or more of the following:…"
Branch Admin Officer,Ampath Trust,,To provide the relevant depot with an effective administrative support service and to perform logging and route reporting and printing related tasks.
Regional Sales Manager - Public Sector South Africa,Cisco Systems,,"Cisco South Africa seeks an Executive Regional Sales Manager with a strong background in executive-level communication, building customer and partner…"
Debtors Clerk - Junior,Herotel Lcom,,"Finance department, while ensuring excellent customer service levels are maintained at all times.Daily processing of credit notes claims from customers."
Media and Communications Intern,Médecins Sans Frontierès,,"The Media & Communications Intern works closely with the Media Liaison and Southern Africa Links Coordinator and the Media Liaison, Human Interest and Special…"
Preseller Merchandiser,Coca-Cola Beverages Africa,,"The successful candidate will report directly to the Sales Team Leader in Knysna .To grow volume and facilitate the order taking process as well as implement,…"
"HR OFFICER, CORPORATE SERVICES DIVISION (GRADE 9)",The Competition Commission,,"Responsible for effectively managing and implementing the full life cycle of talent acquisition, development of policies and procedures and general…"
Runner/Messenger,Ampath Trust,,"To print, sort and deliver reports, stock items and/or specimen to and from hospital wards and Drs rooms and assist the staff with ad hoc tasks."
,Lloyd's Register Group,R500 000 a year,As a Maritime Graduate Trainee with Lloyds Register you will join a structured programme designed to help you develop the skills and knowledge to progress your…
Driver/Storeroom Clerk,NACOSA,,"We do this through mobilizing our network of over 1,700 Organisations, promoting dialogue between government and affected people, building capacity with…"
Regional Communications Specialist,Coca-Cola Beverages Africa,,The successful candidate will report directly to the Regional Public Affairs Manager.To oversee the execution of region-wide corporate reputation initiatives…
Program Support,Canadian Embassy,R218 304 a year,"Provides clerical support services in support of the delivery of the Immigration, Refugees and Citizenship Canada (IRCC) program."
,UBS,,"Provide cross-asset (equities, FX, FI, commodities) sales, creative solutions and risk-reward advice to investors who trade in these asset classes via a variety…"
,Oliver Wyman Group,,The Case competition is open for Entry-Level Consultant/Intern candidates.The online KICK-OFF is in September for selected candidates and the competition will…
,TB HIV Care,,Grade 12 / Matric • Diploma in Nursing or Bachelor's degree (B. Cur) in Nursing from three-year college or university • Registration with South African Nursing…
Refrigeration Mechanic,Coca-Cola Beverages Africa,,The key purpose is to maintain and repair refrigeration equipment as to meet all quality standards and to achieve customer service excellence.
Recruiter/Drivers,Human Sciences Research Council,,"The mission of the CCBR is to understand, identify and improve community wellbeing by exploring, describing and addressing health, education, and quality of…"
Data Gatherer,Graduate Placements,R5 000 - R7 000 a month,The ideal candidate will enjoy a fixed work schedule and being in a support role to the external sales team.This is a 3-month Fixed Duration Contract with the…
Customer Care Agent,Herotel Cloud Karoo,,"Applications are invited for a Customer Care Agent based in Cradock, Eastern Cape.The Customer Care Agent will be the facilitator of the relationships between…"
Development Dump Truck Operator,De Beers Group of Companies,,"As a Dump Truck Operator you will be responsible for the transportation of blasted ore from the working faces, and muck bays to the tipping points underground…"
"Billing Administrator - Johannesburg,South Africa",Arjo,,"To be responsible for assigned aspects of the daily billing processes while maintaining close links with all customers and Rental Technicians , to ensure smooth…"
,itForte,,"Ability to analyze and configure the risk measures in MLC.Experience in modernizing the MLC system.Strong Product Knowledge in Money Markets, Fixed Income …"
